# The country_org crosswalk — hand-checked, and the gate on the map.
#
# One row per canonical speaker label, after config/country_aliases.csv has been
# applied. scripts/02_normalise.py refuses to run if the data contains a
# country_org this file has never seen, so a new speaker cannot silently drop
# out of the map or the state/non-state comparison.
#
# entity_type   state | igo | un | ngo | civil_society | academia | company | other
#               ngo is international or transnational; civil_society is national
#               or local. Most of the long tail is the latter: local associations
#               briefing under the Women, Peace and Security agenda.
# iso3          ISO 3166-1 alpha-3. States only. Historical states carry their
#               successor's code (Zaire -> COD) so they can still be placed.
# un_regional_group  One of the five UN groups, or empty for observers,
#               non-members and every non-state speaker.
# lat, lon      Country centroid, states only. Non-state speakers deliberately
#               have none: a fake centroid on the map would invent a claim.
#
# Propose rows for new speakers with:
#     python tools/bootstrap_entities.py --missing
country_org,entity_type,iso3,un_regional_group,lat,lon,note
Lawyers For Justice In Libya,civil_society,,,,,
Liberty And Justice,civil_society,,,,,
Liga Internacional de Mujeres por la Paz y Libertad (Colombia),civil_society,,,,,
Lutte Pour Le Changement,civil_society,,,,,
Ma'rib Girls Foundation For Development,civil_society,,,,,
Mali Musso,civil_society,,,,,
Municipal Association Of Women And Defender Of Afro-Colombian Territorial And Human Rights,civil_society,,,,,
Musahala,civil_society,,,,,
Mwatana Organization For Human Rights,civil_society,,,,,
Naweza,civil_society,,,,,
Neem Foundation,civil_society,,,,,
Network For Women’s Leadership In The Central African Republic,civil_society,,,,,
Network Of Civil Society Organizations In Borno State,civil_society,,,,,
Network on Peace and Security for Women in the ECOWAS Region,civil_society,,,,,
Networkd of Women-led Organizations of the Lake Chad Basin,civil_society,,,,,
North West Syria NGO Forum,civil_society,,,,,
Organization For Responsive Governance,civil_society,,,,,
Paiman Alumni Trust,civil_society,,,,,
Paix Pour L'enfance,civil_society,,,,,
Parents Circle,civil_society,,,,,
Peace Track Initiative,civil_society,,,,,
Plurielles Haiti,civil_society,,,,,
Policité,civil_society,,,,,
"Project Renew, Norwegian People’s Aid Viet Nam",civil_society,,,,,
Rawadari,civil_society,,,,,
Rede Feto,civil_society,,,,,
Regional Center for Human Rights,civil_society,,,,,
Release Me,civil_society,,,,,
Reseau Des Femmes Pour La Defense Des Droits Et La Paix,civil_society,,,,,
Rien Sans Les Femmes,civil_society,,,,,
Right To Protection,civil_society,,,,,
Réseau Ivoirien Pour La Défense Des Droits De L’enfant Et De La Femme,civil_society,,,,,
Réseau des jeunes leaders pour la gestion durable des écosystèmes forestiers et humides d'Afrique Centrale,civil_society,,,,,
Sauti Ya Mama Mukongomani/Voice Of Congolese Women,civil_society,,,,,
Save Act Mine,civil_society,,,,,
Save Ukraine,civil_society,,,,,
Sawa For Development And Aid,civil_society,,,,,
"School of Leadership, Afghanistan",civil_society,,,,,
Sheba Youth Foundation For Development,civil_society,,,,,
Similar Ground,civil_society,,,,,
Solidarité Féminine pour la paix et le Développement intégral,civil_society,,,,,
Solutions For Sustainable Society,civil_society,,,,,
Somali National Women’s Organization,civil_society,,,,,
Somali Women Development Centre,civil_society,,,,,
Somali Women's Leadership Initiative,civil_society,,,,,
Somalia Youth Development Network,civil_society,,,,,
Sos Center For Youth Capabilities Development,civil_society,,,,,
South Sudan Women With Disabilities Network,civil_society,,,,,
South Sudan Women's Empowerment Network,civil_society,,,,,
South Sudan Women's Monthly Forum,civil_society,,,,,
Strategic Initiative For Women In The Horn Of Africa,civil_society,,,,,
Sudan Social Development Organization,civil_society,,,,,
Synergy Of Women For Victims Of Sexual Violence,civil_society,,,,,
Syria Bright Future,civil_society,,,,,
Syria Relief And Development,civil_society,,,,,
Syrian American Medical Society,civil_society,,,,,
Syrian Center For Media And Freedom Of Expression,civil_society,,,,,
Syrian Emergency Task Force,civil_society,,,,,
Syrian Women's League,civil_society,,,,,
Syrian Women’s Political Movement,civil_society,,,,,
Tamazight Women's Movement,civil_society,,,,,
The Liaison Office,civil_society,,,,,
Together We Build It,civil_society,,,,,
URU,civil_society,,,,,Central African youth organisation.
Ukrainian Trade Union of Law Workers,civil_society,,,,,
Ukrainian Women's Fund,civil_society,,,,,
Viva La Vida,civil_society,,,,,
Voice Amplified,civil_society,,,,,
Voice Of Libyan Women,civil_society,,,,,
Volontariat Pour Le Développement D’haïti,civil_society,,,,,
Women And Children Legal Research Foundation,civil_society,,,,,
Women And Peace Studies Organization,civil_society,,,,,
Women Empowerment Organization,civil_society,,,,,
Women In Peacebuilding Network,civil_society,,,,,
Women Now for Development (Syrian Arab Republic),civil_society,,,,,
Women in Action for Women,civil_society,,,,,
Women's Centre For Legal Aid And Counselling,civil_society,,,,,
