# The country_org crosswalk — hand-checked, and the gate on the map.
#
# One row per canonical speaker label, after config/country_aliases.csv has been
# applied. scripts/02_normalise.py refuses to run if the data contains a
# country_org this file has never seen, so a new speaker cannot silently drop
# out of the map or the state/non-state comparison.
#
# entity_type   state | igo | un | ngo | civil_society | academia | company | other
#               ngo is international or transnational; civil_society is national
#               or local. Most of the long tail is the latter: local associations
#               briefing under the Women, Peace and Security agenda.
# iso3          ISO 3166-1 alpha-3. States only. Historical states carry their
#               successor's code (Zaire -> COD) so they can still be placed.
# un_regional_group  One of the five UN groups, or empty for observers,
#               non-members and every non-state speaker.
# lat, lon      Country centroid, states only. Non-state speakers deliberately
#               have none: a fake centroid on the map would invent a claim.
#
# Propose rows for new speakers with:
#     python tools/bootstrap_entities.py --missing
country_org,entity_type,iso3,un_regional_group,lat,lon,note
Myanmar,state,MMR,Asia-Pacific Group,19.9012,97.0889,
Namibia,state,NAM,African Group,-21.9086,18.1645,
Nauru,state,NRU,Asia-Pacific Group,-0.5221,166.9294,
Nepal,state,NPL,Asia-Pacific Group,28.3009,84.1339,
Netherlands,state,NLD,Western European and Others Group,52.1341,5.5541,"ISO 3166 name: Netherlands, Kingdom of the"
New Zealand,state,NZL,Western European and Others Group,-43.8277,170.6904,
Nicaragua,state,NIC,Latin American and Caribbean Group,12.8936,-85.0161,
Niger,state,NER,African Group,17.0811,8.8686,
Nigeria,state,NGA,African Group,9.6103,8.1477,
Niue,state,NIU,Asia-Pacific Group,-19.0523,-169.8688,
Norway,state,NOR,Western European and Others Group,64.9778,16.6703,
Oman,state,OMN,Asia-Pacific Group,20.7243,55.8411,
Pakistan,state,PAK,Asia-Pacific Group,30.1162,69.0884,
Palau,state,PLW,Asia-Pacific Group,7.5348,134.5797,
Palestine,state,PSE,,31.9308,35.2425,"ISO 3166 name: Palestine, State of"
Panama,state,PAN,Latin American and Caribbean Group,8.4395,-80.1443,
Papua New Guinea,state,PNG,Asia-Pacific Group,-7.1569,144.8349,
Paraguay,state,PRY,Latin American and Caribbean Group,-23.4219,-58.3891,
Peru,state,PER,Latin American and Caribbean Group,-8.5227,-74.1142,
Philippines,state,PHL,Asia-Pacific Group,15.5865,121.8221,
Poland,state,POL,Western European and Others Group,52.0685,19.4357,
Portugal,state,PRT,Western European and Others Group,39.6753,-7.9337,
Qatar,state,QAT,Asia-Pacific Group,25.3185,51.1979,
Republic Of Korea,state,KOR,Asia-Pacific Group,36.4024,127.7622,"ISO 3166 name: Korea, Republic of"
Republic Of Moldova,state,MDA,Western European and Others Group,47.0726,28.3911,"ISO 3166 name: Moldova, Republic of"
Romania,state,ROU,Western European and Others Group,45.8245,25.0942,
Russian Federation,state,RUS,Western European and Others Group,59.0394,98.6705,
Rwanda,state,RWA,African Group,-2.0147,29.9194,
Saint Kitts And Nevis,state,KNA,Latin American and Caribbean Group,17.3147,-62.7456,
Saint Lucia,state,LCA,Latin American and Caribbean Group,13.8957,-60.969,
Saint Vincent And The Grenadines,state,VCT,Latin American and Caribbean Group,13.2548,-61.1938,
Samoa,state,WSM,Asia-Pacific Group,-13.6343,-172.4411,
San Marino,state,SMR,Western European and Others Group,43.9428,12.4613,
Sao Tome And Principe,state,STP,African Group,0.2274,6.6062,
Saudi Arabia,state,SAU,Asia-Pacific Group,24.136,44.601,
Senegal,state,SEN,African Group,14.2289,-14.6109,
Serbia,state,SRB,Eastern European Group,44.0268,20.8568,
Serbia And Montenegro,state,SRB,Eastern European Group,44.02,20.92,State union 2003-2006; mapped to SRB (Belgrade).
Seychelles,state,SYC,African Group,-4.66,55.4725,
Sierra Leone,state,SLE,African Group,8.5613,-11.7866,
Singapore,state,SGP,Asia-Pacific Group,1.3528,103.8103,
Slovak Republic,state,SVK,Western European and Others Group,48.6981,19.581,ISO 3166 name: Slovakia
Slovenia,state,SVN,Eastern European Group,46.1376,14.8906,
Solomon Islands,state,SLB,Asia-Pacific Group,-9.6131,160.1648,
Somalia,state,SOM,African Group,6.5245,45.4004,
South Africa,state,ZAF,African Group,-28.5536,24.7525,
South Sudan,state,SSD,African Group,7.6578,30.3852,
Spain,state,ESP,Western European and Others Group,28.2977,-16.538,
Sri Lanka,state,LKA,Asia-Pacific Group,7.6966,80.6693,
Sudan,state,SDN,African Group,15.6706,29.9515,
Suriname,state,SUR,Latin American and Caribbean Group,4.0987,-55.8555,
Swaziland,state,SWZ,African Group,-26.5625,31.5107,ISO 3166 name: Eswatini
Sweden,state,SWE,Western European and Others Group,62.7342,17.0624,
Switzerland,state,CHE,Western European and Others Group,46.7368,8.2869,
Syrian Arab Republic,state,SYR,Asia-Pacific Group,35.0975,38.5117,
Tajikistan,state,TJK,Asia-Pacific Group,38.5693,70.9422,
Thailand,state,THA,Asia-Pacific Group,13.6622,101.0868,
Timor-Leste,state,TLS,Asia-Pacific Group,-8.8099,125.9502,
Togo,state,TGO,African Group,8.6607,0.8991,
Tonga,state,TON,Asia-Pacific Group,-21.1593,-175.2042,
Trinidad And Tobago,state,TTO,Latin American and Caribbean Group,10.4155,-61.3724,
Tunisia,state,TUN,African Group,34.0864,9.6559,
Turkey,state,TUR,Western European and Others Group,38.9321,35.5689,ISO 3166 name: Türkiye
Turkmenistan,state,TKM,Asia-Pacific Group,39.0607,58.4577,
Tuvalu,state,TUV,Asia-Pacific Group,-8.5147,179.2178,
Uganda,state,UGA,African Group,1.2822,32.3437,
Ukraine,state,UKR,Western European and Others Group,48.6575,31.2738,
United Arab Emirates,state,ARE,Asia-Pacific Group,24.1825,54.2792,
United Kingdom Of Great Britain And Northern Ireland,state,GBR,Western European and Others Group,53.9784,-2.8529,ISO 3166 name: United Kingdom of Great Britain and Northern Ireland
United Republic Of Tanzania,state,TZA,African Group,-6.3558,34.8183,"ISO 3166 name: Tanzania, United Republic of"
United States Of America,state,USA,Western European and Others Group,38.8208,-96.3316,
Uruguay,state,URY,Latin American and Caribbean Group,-32.782,-56.0192,
Uzbekistan,state,UZB,Asia-Pacific Group,41.4879,63.8548,
Vanuatu,state,VUT,Asia-Pacific Group,-15.1891,166.8491,
Venezuela (Bolivarian Republic Of),state,VEN,Latin American and Caribbean Group,7.1483,-66.3649,
Viet Nam,state,VNM,Asia-Pacific Group,16.5173,105.9134,
Yemen,state,YEM,Asia-Pacific Group,16.0014,47.4682,
Yugoslavia,state,SRB,Eastern European Group,44.02,20.92,Federal Republic of Yugoslavia (1992-2003); mapped to SRB (Belgrade).
Zaire,state,COD,African Group,-4.04,21.76,"Renamed Democratic Republic of the Congo in 1997; kept distinct, mapped to COD."
Zambia,state,ZMB,African Group,-13.1628,27.7552,
Zimbabwe,state,ZWE,African Group,-18.927,29.7178,
Alliance of Civilizations,un,,,,,
COVID-19 Vaccine Country Readiness And Delivery,un,,,,,
Committee On The Exercise Of The Inalienable Rights Of The Palestinian People,un,,,,,
IAEA,un,,,,,Autonomous organisation reporting to the UN; grouped with the UN system here.
ICAO,un,,,,,
International Court Of Justice,un,,,,,
International Labour Organization,un,,,,,
International Maritime Organization,un,,,,,
International Residual Mechanism For Criminal Tribunals,un,,,,,
Programme For Coordination And Assistance For Security And Development (Pcased),un,,,,,
UN,un,,,,,
UN High Commissioner for Human Rights,un,,,,,
UN High Commissioner for Refugees,un,,,,,
UN Institute for Disarmament Research,un,,,,,
UN Interim Force in Lebanon,un,,,,,
UN Mission in South Sudan,un,,,,,
UN Multidimensional Integrated Stabilization Mission in the Central African Republic,un,,,,,
UN Office on Drugs and Crime,un,,,,,
UN Organization Stabilization Mission in the Democratic Republic of the Congo,un,,,,,
UN-Women,un,,,,,
UNFPA,un,,,,,
UNICEF,un,,,,,
UNRWA,un,,,,,
United Nations University,un,,,,,
World Food Programme,un,,,,,
World Health Organization,un,,,,,
World Meteorological Organization,un,,,,,
